content,creationTime,nickname,referenceName,content_type
昨天到的，今天师傅就安装好了，不错之前的美的的用了10多年，美的值得信赖。,2018-08-30 15:32:36,j***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热水器已安装好，非常满意，安装人员服务非常好。必须点赞? ?,2018-09-12 12:03:27,j***e,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
空调很好，高端，大气，上档次！值得购买！推荐给大家！信任京东！,2018-08-30 15:49:27,j***7,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
已经买好长时间了才来评价，正在使用中，没有问题，屏幕灵敏度很高，用着还不错，支持京东、美的。。。,2018-10-28 12:00:39,l***a,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
此用户未填写评价内容,2018-09-05 12:31:12,j***6,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
可以，在各方面都比较好，节能、安全，噪音也比较小，并且也不会占用卫生间的空间。安装师傅人又好，不仅帮我安装好，还细心教我怎么用，安装完了还帮忙打扫卫生。美的不仅快递送的快，安装服务态度也很好。,2018-10-12 12:20:45,闵***子,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
好评，安装师傅服务也很好，外观设计也简单大方，美的热水器很满意，邻居也说要买,2018-09-11 20:17:46,I***d,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
是正品，质量很好，送货也很快，我家的电器都是在京东买的，都很满意,2018-09-12 15:21:56,3***6,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
"服务态度很好，热水器到

货后及时安装。十分满意",2018-09-12 18:45:04,j***9,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
在京东买了很多东西，吃的用的都买过，算老客户了。热水器可以的，京东自营的产品还是有保障的，不管是产品质量上还是送货方面，都很满意，以后有需要会长来。,2018-09-12 12:30:39,好朋友996,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
产品不错，非常满意。京东商城物美价廉。,2018-09-12 16:43:17,j***x,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
发货快，师傅安装的也很快,2018-09-05 18:10:30,j***6,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
京东物流太快了  第二天就到了  今天安装的  家里的电器几乎都是美的品牌的  用着都很好用   电器也都是京东自营买的  安装师傅服务很热心  不是太好安装  到时都细心的帮我解决了  给师傅点赞,2018-10-28 16:29:42,j***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
"京东自营店
购物放心值得信赖，
快递速度快递小哥给力，强力推荐购物选京东",2018-09-12 01:36:28,优***顿,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
好，可以，性价比可以，选了好久最终买的美的的这款60升，2100瓦，很不错，安装服务也不错的,2018-08-30 14:47:19,H***托,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
物流够速度，当天下单隔天送货上门。接着售后安排第二天师傅上门安装 安装师傅也很尽责,2018-09-11 21:43:50,j***n,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
京东服务好，物流快，不知道安装技术怎么样，要下星期一才装,2018-09-12 19:13:41,j***1,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
还不错的一款热水器，质量扛扛的，我要求很低，用着还行,2018-09-07 20:47:16,j***m,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
很不错，而且物美价廉，值得拥有,2018-08-30 13:44:22,w小尾巴,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
洗衣机功能齐全，外观漂亮，送货速度很快，师傅提前预约好了，准时到达，服务态度这方面感觉京东是无敌的，洗衣机的话，安装完了以后师傅还教了怎么用，并且告知了注意事项。,2018-10-28 10:51:50,5***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热水器功能齐全，价格实惠，送货速度很快，师傅提前预约好了，准时到达，服务态度这方面感觉京东是无敌的，热水器的话，安装完了以后师傅还教了怎么用，并且告知了注意事项。,2018-10-28 10:53:52,5***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热水器功能齐全，价格实惠，送货速度很快，师傅提前预约好了，准时到达，服务态度这方面感觉京东是无敌的，热水器的话，安装完了以后师傅还教了怎么用，并且告知了注意事项。,2018-10-28 10:53:28,5***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热水器功能齐全，价格实惠，送货速度很快，师傅提前预约好了，准时到达，服务态度这方面感觉京东是无敌的，热水器的话，安装完了以后师傅还教了怎么用，并且告知了注意事项。,2018-10-28 10:53:10,5***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热水器功能齐全，价格实惠，送货速度很快，师傅提前预约好了，准时到达，服务态度这方面感觉京东是无敌的，热水器的话，安装完了以后师傅还教了怎么用，并且告知了注意事项。,2018-10-28 10:52:51,5***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
一直信赖京东。希望越走越远。,2018-09-07 22:33:20,狠***爱,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
还不毛，经济实惠耐用。希望京东再加再励，在双十一的时候，70-75寸的电视和十字冰箱优惠再大点，给力多多的，因为我准备在双十一的时候下手了。,2018-10-29 10:35:33,三***蛙,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
商品不错，经济实惠，京东物流也快！！,2018-09-12 16:49:58,4***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
此用户未填写评价内容,2018-09-12 17:54:22,天***蓟,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
此用户未填写评价内容,2018-09-09 15:20:26,j***l,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
安装服务好，态度满意,2018-09-07 18:58:39,j***d,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
前段时间卖了一个啦，叔叔看着不错就又买了一个。很实惠，遥控的很方便，加热也比较快，只是停电后保温效果不是很好,2018-10-27 17:22:50,h***3,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
安装师傅服务态度好,2018-08-30 14:58:29,X***h,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
包装好，打开东西没有破省，质量好，加热快，服务周到，安装师傅很耐心，很积极。货一到就联系我马上安装了。用了几天才来评价。,2018-10-28 18:51:36,1***5,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
东西很好看，送货很快，房子还没装好所以还没有使用，用后再来评价，朋友家用的就是这款，说是热的很快。相信我是成功的网购,2018-10-29 08:09:52,j***g,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
送货快服务好,2018-08-30 16:04:39,X***R,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
已经多次购买这款美的 的热水器 朋友们都说好 而且价格还便宜比实体店便宜好多 送货速度也很快 服务态度非常满意,2018-10-29 11:26:44,2***3,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
昨天晚上下单，今天下午送到并安装好，速度真快啊，感谢送货上门的师傅，以及安装的师傅，你们辛苦了。全5分。,2018-10-28 19:38:33,j***z,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
各方面都比较满意，配送速度非常快。服务态度很好。包装完好，师傅开箱开机验货，很负责，现场客户签收评分！,2018-10-28 14:53:12,5***5,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
很满意这个热水器！安装张师傅非常细心！装修时接水管没有装一致，张师傅帮着给装一致了，美的的服务没得说！,2018-10-28 21:42:29,土***梅,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
美的（Midea）60升电热水器，首先机器外型高端大气上档次，可以远程遥控，触屏效果很好，操作简单,2018-10-28 11:08:15,1***1,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
美的60升的热水器带遥控的真的很好用的，很方便，保修很好，真的很好，快来购买吧，大品牌值得信赖,2018-10-27 17:24:12,3***6,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
这款美的热水器非常好用，加热很快，容量也够大，安装师傅也很好说话，好评。,2018-10-28 10:03:26,刘***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
美的中国好热水器，买热水器就选美，迪美的照哦耶。d热水器，中国好热水器。,2018-10-29 10:37:13,右***福,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
送来后没有拆开看，售后说不让拆，让安装人员拆开，有质量问题他们负责处理。安装后在看看,2018-10-27 20:35:41,诺***爸,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
京东服务不错额，家里说要安楼上，哈哈，二楼还没修好呢，等段时间再安了，用了再来评下了,2018-10-28 15:44:23,Y***Q,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热水器尺寸刚好放下，售后人员也特别负责，询问了好几次浴室尺寸，,2018-10-28 13:23:14,x***b,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
服务很好，店家，物流，安装都挺棒的，购买到安装三天结束，还有短信温馨提示，很棒的,2018-10-28 18:32:15,1***p,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
各方面都很好，正规，标准，速度  送货师傅 特别好 ，安装师傅也很好，总之挺满意,2018-10-27 18:11:40,w***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
物流快捷，售后跟进及时，安装师傅给力！正在使用中，一切正常，大品牌值得信赖！,2018-10-29 08:09:13,j***p,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
节能省电外，观漂亮节能，物流很快，送货师傅态度很好。,2018-10-27 19:49:32,a***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
用了一次，不错，价格实惠，安装也挺好，花了*，老房子安装热水器，比较麻烦。,2018-08-30 15:38:17,兔***9,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
双十一前波优惠来袭又是囤货好时侯快手有慢手冇了,2018-10-28 19:19:54,jd鑫森淼焱li,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
安装等了好几天，其他都还挺好，老牌子值得购买,2018-10-29 09:23:55,1***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
只是安装还没使用，等使用后在来评价。另这款遥控不能透过吊顶。。。,2018-10-27 17:48:14,疯***三,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
这款热水器用着挺方便的，有遥控器方便使用触摸的显示屏能看见度数,2018-10-29 06:15:41,3***5,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
用了一段时间，感觉质量不错，对得起这个价钱,2018-10-27 23:42:34,若***事,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
白色好看，大气，升温很快，3人洗澡够用了，一级能耗非常满意。,2018-10-27 19:06:16,j***4,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
半个月买了俩，这是为什么。好呗，哈哈。,2018-10-29 11:06:49,开***哥,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
发货速度很快，安装及时，师傅服务热情，五星好评，相信京东!,2018-10-29 08:47:39,d***0,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
商品刚刚收到了，已安装完成。物流速度也很快。不知道耐用不。,2018-10-27 18:15:16,j***f,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
产品很不错，价格合理，物流给力，在京东买东西就是放心，,2018-10-28 11:10:42,3***5,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
不错不错，性价比很高，还是很合算的,2018-10-28 13:03:18,r***i,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
到货安装几天才来评价，物流挺快，店家服务热情，好评。,2018-10-28 21:54:02,琦***3,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
大品牌大厂家值得信赖美的热水器我一直在用进口就可以的,2018-10-28 21:23:41,4***3,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
价格便宜，质量不错！满意的购物！,2018-10-27 20:04:38,N***C,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
物品物流非常快！厂家态度好！安装员，速度快收费合理！,2018-10-27 20:05:41,朱***D,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
东西真的很棒哦，用了很喜欢的！,2018-10-28 23:46:06,爱***去,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
晕，美的大品牌！产品都爆开了还送过来。难道都不检查,2018-10-28 21:53:37,西***子,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
美的大品牌值得信赖!水热的很快!售后安装都很专业!,2018-10-29 09:45:49,j***6,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
东西不错，挺好的，比实体店还优惠，安装师傅还很热情&hellip;&hellip;满意！,2018-10-28 12:28:08,绝***傻,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热水器收到了    售后很好  服务很棒  很满意,2018-10-27 16:40:42,j***t,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
用起来还不错性价比好值得购买,2018-10-28 19:35:04,潛***行,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
应该不会差，装在新房里还没用,2018-10-28 15:29:07,追***回,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
外观大气，大品牌值得信赖，物流很快，安装挺专业！,2018-10-28 16:39:25,j***4,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
还没有安装，希望质量没问题,2018-10-28 16:47:47,w***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
美的热水器质量好而且价格不高！真是便宜又实用！,2018-10-28 13:49:36,4***3,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
美的大品牌，售后服务杠杠的,2018-10-28 16:29:26,买***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热的很快，目前没有任何问题，美的品牌，值得信赖,2018-10-27 18:01:09,j***e,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
安装师傅很热心，服务很好，！！！！！！！！！,2018-10-28 04:23:52,j***x,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
已经安装好了，不知道好用吗，希望物有所值吧,2018-10-28 18:58:28,热***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
不错，热水速度还没试,2018-10-29 11:24:08,寒***恒,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
此用户未填写评价内容,2018-10-29 11:18:26,t***h,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
给个五星好评安装师傅也很给力，感谢?,2018-10-29 01:34:50,j***z,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
从送货到安装使用都非常满意，相信品牌的力量！,2018-09-12 17:35:39,j***c,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
很好用，价格也很合理，，用一段时间再来追评。,2018-09-11 21:43:47,我是隔壁狗蛋儿哥,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
东西还好，安装师傅挺好的，比较满意。,2018-10-28 18:22:48,绿***1,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
安装及时，态度很好，运送速度很快好评,2018-10-28 13:57:34,j***e,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
物流很快，服务态度也很好，老客户了。,2018-10-28 11:51:04,j***0,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
目前使用起来很不错,2018-10-28 08:36:20,w***7,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
刚用，还不知道效果怎么样,2018-08-30 16:05:19,金***儿,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
刚刚用几天，2.3个人洗澡?正好,2018-10-29 07:37:40,L***淇,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
东西性价比很高，安装师傅手艺不错！,2018-10-28 18:36:52,y***子,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
送货快，质量好！相信京东，相信美的,2018-10-28 09:40:08,j***p,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
东西真好，价格还优惠，好评好评好评,2018-10-28 09:40:08,j***q,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
质量好，物流快，服务好！商品好！,2018-10-29 11:17:28,j***e,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
质量不错，保温效果好，挺好用的,2018-10-28 15:50:12,w***6,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
送货很快，安装效果好，加热快,2018-10-28 16:19:52,H***4,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
配送快，安装服务好，很满意，,2018-10-28 09:58:13,4***2,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
热水器外观高大上，信赖京东,2018-10-28 12:12:17,4***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
京东送货及时，质量挺好的！,2018-10-28 12:00:34,3***4,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
还没使用，相信这个品牌不错,2018-10-27 21:05:25,笑***d,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
还不错，物流速度挺快，相信京东。,2018-09-12 17:34:49,j***c,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
还没安装，挺便宜的1，希望很好用,2018-09-11 20:26:27,j***a,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
机器美观大方，服务态度好,2018-10-28 19:07:49,长***王,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
不错的，恒温 ，安装师傅也很好。,2018-08-30 15:02:48,t***7,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
产品不错，安装师傅服务态度挺好！,2018-08-30 15:13:20,永***子,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
安装满意，及时，老好了,2018-10-29 10:33:26,j***c,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
挺好的，性价比很不孬，赞赞！,2018-09-12 19:37:30,0***l,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
