	评论
26	外观材质：挺好的，外观很好。 显卡效果：挺出色的，色彩鲜艳。 电脑性能：总体很好，值得购买，好评。
27	首先物流很快  很轻薄便捷 专门是买来做美工的 鼠标垫 鼠标都有送 价格也算实惠 后期用好追加评论
28	电脑很美观很轻巧也很清晰，性价比很高，值得拥有
29	昨日拍下，今日就到货了，电脑已经用上了，用段实际在再回来追评，颜色好看，颜值不错，反应也快，音质可以。
30	客服服务不错，很久不用笔记本了，新机设置的教程真的很贴心，非常好用，开机快，学习办公足够了，打字也很舒服，轻薄带着出门无压力！挺好的，办公追剧都可以满足哟。
31	到货就迫不及待打开了，果真没有让我失望，质量好，不卡颜值也相当高，是我喜欢的红色诶
32	活动期间下得单，便宜不少。开机时间短！尺寸大小设计合理精美！发货快，物流快，一两三天就可以到手！
33	轻薄，方便携带，外观很简约，用起来非常流畅，性价比高，买来给爸妈就看看电视上上网的，很不错！！！ 电脑性能：可以
34	电脑挺好的，反应也挺快，操作方便，这个价位的电脑???可以了已经！！
35	发货迅速，很快收到了，和述说的一样，设计简约新颖，很薄边框窄，也挺轻，办公，娱乐两不误，比较适合我。满意，满星。
36	使用了一下，很好用，适合我们学生使用物流很快，很给力两天就到了，手感还可以，外观好看，也很薄。我买来是来拿来做表格的，不错运行很快
37	笔记本用了一个硬纸盒装着，麻雀虽小，五脏俱全。鼠标垫，充电器，有线鼠标，快递很给力，很快就到了，运过来的笔记本完好无损。笔记本的开机速度挺快，色域还算可以。键盘有键盘膜保护，键盘用着还可以。
38	到货很快，东西也不错，包装很精致，也很美观，性价比还是很高的，不错！卖家的服务也可以，很好的体验
39	电脑速度不错，送的键盘膜是防型的可以套进键盘里面，比表面是平的好多了。第一次开机需要自己注册，送的U盘、鼠标、键盘还可以，这个价格总体来说还是不错的。
40	电脑包装精美，开机速度特别快，在同等价位而言首选当之无愧；还有外观也比较时尚，我买的是黑色252G，主要用于日常办公，个人觉得完全够用，运行速度特别快。
41	开机很快，只需要十几秒，启动软件也快。
42	听朋友推荐他家笔记本电脑性价比不错。正好家里台式机出现问题时间也很久，下单买了一台。很快就送到了，试了一下运行速度很快，显示器也很棒。客服的服务态度也很有耐心，推荐了性价比最高的配置。总之这次很满意，祝店家生意兴隆
43	物流很快，第二天就到了，电脑运行也很快，不卡，看电影，玩游戏完全可以
44	内外包装完好，对电脑的保护做得不错，开箱过程是一种享受。机器外观比图片上看起来漂亮一些，整机金属材质质感很好。键盘触感也相当不错，比我现在用的戴尔好。屏幕清晰度就不多说了没得说！
45	运行速度很快的 ，相比较而言性价比很高，屏幕效果，屏幕分辨率也很不错的，散热性能可以，外形都比较有质感，轻薄也可以的，总体来说是很不错的一款笔记本电脑了，果断推荐哦，性价比超级无敌好了。
46	商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~??????不错不错。
47	笔记本很薄，然后外观也非常不错，喜欢的可以购买。真的挺好的。 然后客服小哥哥也非常的有耐心。技术小哥哥，也挺不错的。给你们加油！
48	这台笔记本，屏幕非常给力，颜值也不错，性价比比高，客服服务也很热情，技术人员很有耐心，必须给赞/：^_^
49	很好， 玩 cf dmf lol一点都不卡 很丝滑 炒股 玩游戏看电影够用了 建议买512g 4k屏幕 金属的很漂亮 很清楚 电池 待机可以待 5个小时左右 关闭状态 几十个小时不是问题 电脑很大 价格很划算 各方面都还不错 对得起这个价格 喜欢的可以入手了 性价比很高
50	其他特色：首先要说的是这款笔记本电脑的外观是我非常非常喜欢的，其次要说的是这款笔记本电脑的性能还是非常非常不错的，屏幕色彩也是非常清晰 这款笔记本电脑开机的速度是7-8秒，装完软件是12秒，还是非常符合我的要求的。再次要说的就是这款笔记本电脑的耐用性，是我很期待的。 外观材质：笔记本整体外观时尚潮流，轻薄小巧，方便携带，整体配置较为不错，显示屏细节清晰盈亮，对于我办公绰绰有余，星空黑更显高端大气  电脑性能：宝贝不错，运行流畅，无卡顿，毕竟和高端笔记本一样的处理器，这价位，这配置知足了，办公，处理下文档，很不错！
51	外观材质：红色外观非常棒 显卡效果：显卡运行挺快的 电脑性能：很好
52	非常好用，和很适合学生办学习，写代码啥的，商家服务也好，买来有个键坏的，都包退，客服也我能耐心，就是等的时间有点长了。
53	整体感觉不错，运行速度挺快，这次购买真的物超所值，会推荐给身边朋友购买！
54	日常办公使用已经，还可以，看后面玩玩英雄联盟看行不。总体上说很不错了，外观好看。
55	产品非常好 推荐大家下单 已经收到货了
56	其他特色：都很好，挺好用的。 外观材质：好看，我很喜欢。 显卡效果：很不错。 电脑性能：速度很快。
57	这台电脑，屏幕大小感觉刚刚好，颜值也不错，性价比高，客服服务也很热情周到，技术人员很有耐心，挺好的
58	质量不错特好用，上网速度快不卡，屏幕也很清晰，办公好帮手，大小都刚刚好，用来学习和办公是绰绰有余的，说是11代处理器，咱也不懂，反正用起来还不错，运行流畅没有卡顿
59	这个价位买到这种配置真超值，外观大方，很轻便。可以入手
60	还行吧！就是广告多了一点，我从新装了腾讯管家广告就少了一点。待机时也还是会有广告。机子自带的毒霸，反复叫你注册会员一年几百。不然一堆堆的发广告。客服还嘱咐过我不要装**软件。可是我一开机就这样呀！实话。
61	服务态度不错。外观好看，与描述的情况基本上是一样。显卡还行，就是开机速度稍显不足。
62	产品不错，当初纠结很久才考虑买的毕竟电子产品都不便宜，所以特意试用过才来评价，开机速度可以办公看电视流畅不卡机，正常办公要求不高人群合适，银色金属本外观也是挺好看。
63	用了几天，感觉还不错！日常用非常ok的
64	电脑够大，非常美观，颜色正，画面很清晰，用起来速度也很快！
65	挺好用的，刚才看了电影，开机啥的都不卡，办公用起来特别方便，性价比挺高的分辨率是蛮高的画质清晰细腻，运行速度也挺快的玩起来流畅，状态良好没有问题，性能够用，而且我觉得一点也不卡，很满意哦，轻薄又不失大气赞
66	电脑特别棒????，比我想象的要好得多。 反应较快，画面清晰，服务态度也很好，哪里不懂都会教你怎么做！
67	买来办公用的 对比了好多家 也做了些功课 最后选定他家 不错不错 性价比可以
68	此用户没有填写评论!
69	外观材质：abs不知道耐不耐划，不过金属质感看着还是很不错的 电脑性能：这个价格我知道不能要求太多，但是看到qq能占15%-25%的cpu进程我也是有点窒息。运行起来比较流畅没有卡顿，日常办公是没有问题。我是放在飘窗垫上用的，发烫略严重，在岩板桌上使用应该会好一些。显示效果不知道有没有达到4k，但是还是比较清晰的，色域也广，屏幕有一点反光，可以接受。系统纯净，无广告弹窗好评。 总而言之性价比很高，但是玩游戏可能会缩短电脑寿命，重量也轻，用于轻量参公很不错。
70	"机身很薄，金属材质质感很好，外观也很美，怕有什么问题，用了一段时间才 来评价，整体效果不错，画质清晰，网速流畅！4k高清屏很清楚，整体来说很好，外观很奈斯 ！听歌声音很清晰；玩lol什么的都没问题,运行很流畅。 感觉蛮好的一款笔记本！值得推荐，办公方面没有任何问题的，可以做到运行流畅的哦"
71	非常棒，性价比高，客户服务态度不错，电脑性能可以，日常办公足够，还是比较推荐
72	电脑收到，外观整洁，作为办公电脑用，各方面还算满意。运送速度挺快的。
73	电脑拿到了，和想象中的一样，电脑轻、薄、携带方便客服态度也很好。
74	卖家发货快！顺丰物流很给力！ 机器正品！开机需要一些设置！不过很简单！ 特地用了几天！开机速度几秒！风扇的声音很小！上网速度很快！不玩游戏！无法评论！ 性价比很高的本本！如果犹豫的话，可以先试用几天！ 特地说一下：卖家服务很好，有问题能及时解答！ 本人感觉不错的购物体验！大家有问题可以问我！
75	用了几天再来评价的，拿到手很惊喜，金属本重量材质手感都很棒，尤其是屏幕看着很舒服，运行起来几乎听不到声音，平时用来办公或网课追剧什么的绰绰有余了
76	总体不错，显卡128M有些惊人，京东方显示效果还可以。
77	电脑性能：开机很快，6秒完成，效率 显卡效果：色彩挺饱满的 外观材质：我喜欢的黑色，经典，耐脏 其他特色：轻便，方便携带，期待电脑包中
78	收到宝贝了，跟我预想一样，物流挺快的隔一天就到了，第一次买电脑没有翻车
79	电脑收到了，发货蛮快的，卖家还给了一些小礼物，开机速度挺快的，电脑也很轻薄，妲已客服服务好。
80	这个是我选了很久很久的笔记本电脑，犹豫了很久还是决定下手啦！戴睿这个品牌可以说挺不错的！！！收到货了感觉自己的决定没有错的，快递昨天下单今天就收到，在新电脑的操作中，客服也是非常耐心的一问一答，真的点赞??电脑操作挺简单的！不会的问客服就马上解决！电脑外观也是自己喜欢的颜色！必推必推&hellip;&hellip;
81	真的很好，很实惠，值得购买
82	发货快，第二天中午就收到了，服务好，有问题会及时回复。笔记本很轻薄，颜值不错，特别适合女孩子，当然男孩子用也挺精致的，用起来还是比较快的，本来就是简单的办公需要，好好爱惜使用，希望能陪伴久一点。 本来看了评论，还是挺担心的，但是还是相信国产品牌，希望没有问题，有问题相信咱们大品牌也会给我们解决的，所以安心买就对了！
83	机身 质感不错 键盘 也好用 屏幕 虽然说分辨率高 但是显示质量一般 色彩亮度鲜艳度不太好 性能 只能说和配置相符
84	很不错，good
85	画面非常好，机械和固态都没有问题      视频  炒股   价格选择睿智R12Pro是非常好的 价格各各方面都好
86	此用户没有填写评论!
87	没想到发货速度那么快，顺丰小哥态度很好，说有任何包装问题找他。拆开一看，中国红太漂亮了，这个手提主要炒股为主，所以红色特别喜欢??下载好必用软件，运行速度非常快，没有噪音。店家送的礼物也很不错哦，还有收到货后客服阿古朵的温馨提示也让人感到很贴心很舒服，绝对的满意！
88	看着价格这么划算的电脑其实我挺犹豫要不要买，当我购买后商家发货非常快，隔天就到手了，我迫不及待的拆开包装打开了电脑，包外观十分精美，运行也十分流畅，玩游戏不卡，这个价格入手让我感觉十分的划算！客服&ldquo;芈月&rdquo;服务也非常好
89	收到货了，电脑很好客服，服务态度很好到时候在跟老婆买一台
90	电脑很好用办公用的也很好，主要是外出方便携带安装软件遇到不懂的，客服也很耐心的服务，看视频、听音乐、逛网页、做文件等很流畅，一点都不卡，个人很满足够用了。能以这么低的价格买到这么好的电脑已经不多了，宝贝非常不错。
91	收到货就迫不及待的打开了，外包装完好，颜色是自己喜欢的类型，运行速度还不错，朋友介绍买的，果然不错。质量很好，外观挺大气的，这一款新品没选错。
92	还不错，外观很漂亮，运行速度也可以，已经买来好几天了，感觉值得拥有！
93	电脑还可以速度也很快，发货也快两天时间就到货了&hellip;
94	电脑笔记本是我男朋友花了很长时间对比和斟酌之后买的，戴睿外观给我的感觉很惊喜，而且还是指纹识别开锁，安全性有了很大的保障，我很惊喜，喜欢??
95	顺丰快递送货上门，特意用了几天才来评价，最满意的是升级了4k屏幕，分辨率很高，看视频很舒服。电脑用起来不卡，日常办公够用，客服很耐心解惑答疑，性价比很高。
96	挺满意的一次购买 确实是4K画面 显示效果挺细腻的 性价比非常高 日常办公够用了
97	笔记本等了2天到货，快递比较给力，收到后非常满意，性价比非常高，这个价位非常不错了，满足日常办公，看视频完全没问题，非常满意
98	好评     笔记本电脑还好用    非常轻    不怎么卡
99	性价比非常高的一款轻薄笔记本。给孩子买笔记本第一时间就是考虑戴睿各方面果然没有失望。完美 外观材质非常好。很薄，正品！ 显卡效果：效果爆炸，非常牛， 电脑性能：无与伦比值得推荐。
100	外观材质：极好的 电脑性能：性价比超高 其他特色：轻便，易操作，系统好
101	本本收到了，外观设计和键盘设计都很合理，很是满意。迫不及待的打开电脑联网后网速也很快，价格也很便宜是款值得购买的商品，性价比真的很高！物流也很快。
102	用了几天感觉好不错，画面清楚，看电影和打开网页都顺畅。希望越做越好！
103	电脑收到了，颜色很正，之前一直想买电脑，现在比想象中的好，总而言之这个价位满不错的不冤，值得购买！
104	此用户没有填写评论!
105	送的4k屏！电脑收到用了好几天了才来评价，确实不错！性价比很高！优酷客服端看4k电影，60帧虽然没120，144帧的丝滑无拖影，到这个价位真心可以了！至少是块4k好屏！不插电源，电池性能选节能模式，一个多小时使用时间吧！给女朋友用来做题的，完全够用！
106	电脑收到了，但是真的有几点不满意，1：激活完关闭然后第二次打开是显示&quot;无法完成功能配置，正在撤销更改&quot;很长时间才开机2：打开后有几次闪黑屏(不知道为什么)虽然电脑便宜(我也图它便宜)但是没用一天这样不太好吧！客服态度什么没话说都挺好的！但是作为消费者我绝对我该说出真实内容！我使用怎么样就怎么样，不存在用的不好还硬说好的。 外观材质：还挺可以 显卡效果：也有待观察！！！！！！！ 电脑性能：我觉得有待观察！！！！！！！！
107	图像很清晰，无线下载也很快，选来选去最终选了这家，看着还不错??????
108	此用户没有填写评论!
109	电脑很轻薄，开机也很快不会卡机。听听音乐音质很好
110	我买电脑的时候我就觉得好 回家用到以后真的太好了 我爱了 服务态度也太好了 物流也快 真的大家不要错过机会 机会难得这么优惠你到哪里去找呀 抓紧时间
111	快递第二天就送到了，很激动，打开一看很惊艳，第一感觉就是薄，很薄！！！手感很好，打开更是漂亮，超窄边框屏幕看起来很爽
112	电脑很棒，日常办公和娱乐都没有问题，而且4k的屏幕很好。
113	此用户没有填写评论!
114	卖家态度很好电脑性能也很好 黑色看起来非常大气美观 非常高兴的一次购物
115	商家赠送的礼品精美.电脑很漂亮 物流也跟给力，质量也特别好，用起来不卡。
116	首先说的是这电脑是真挺好，真没有想到这么便宜的电脑还可以玩游戏，买之前我都没有想到这电脑会这样优秀，这给孩子学习看资料，玩点小游戏一点问题都没有，真是太好了
117	电脑开机很快，物流也快，遇到不懂的地方问商家，商家都热心解答，送的礼物也不少，值得购买。
118	其他特色：总之非常喜欢。 外观材质：高端，大气，上档次。 显卡效果：色彩比较鲜艳，分辨率较高。 电脑性能：非常快，安装特别简单。
119	电脑拿到了，真是4k屏，这电脑看4k视频非常的清晰，有图片为证，真是太值了，推荐大家下我这款
120	值得购买 携带方便 第一次在网上买笔记本 也是非常满意的哈，我们是用来在家办公的，台式机相对比较大，没有地方放，这个就比较小巧了
121	宝贝收到了   原本有点担心质量结果很满意  这个价位很划算  颜色选了个红色  超喜欢
122	电脑还可以吧，我第一次自己买电脑，发小推荐的，如果质量后边用着没问题，那电脑就没问题，看起来还是不错的，还有指纹解锁，挺高级的，有其他情况用一段时间再来评价，不好意思大家，我是电脑小白，所以没有什么建设性的建议和评价！下载东西还挺快的。
123	其他特色：續航可以長一點就好，滿電下連開3小時左右就須充電 外观材质：高端，輕巧 显卡效果：4K顯示屏，視頻已是最光效果 电脑性能：比想像中優秀，應付文書處理看劇集沒難度
124	可香了，价格实惠，电脑总体来说不错，很适合上网课 ，适合办公
125	用了两天体验感太好了 外观设计很简约大气 手感也棒 用来学习工作太够了 还送了好几样东西 也很实用
126	刚收到，觉得还可以，我个人觉得这个价格能接受
127	今天刚刚收到，不懂的客服都有回话，态度很好，感觉还不错，用一段时间再看看，如果好用下次再买个高配的。
128	刚把电脑设置好，感觉还可以。
129	电脑很快就收到了，外观很漂亮，机器性能也不错，性价比很高。
130	此用户没有填写评论!
131	非常完美，别的地方都断货买不到，还担心机子有问题，查了序列号，完全ok， 日常办公，看看剧非常实用，而且我用的是很实用，散热好，轻薄，风扇噪音小，送的电脑包和鼠标也很棒，总算没辜负我挑了这么久
132	此用户没有填写评论!
133	电脑已收到，包装很好，没有一点破损，电脑也很轻巧，画质清洗，不卡顿，工作，看电影，打游戏都是不错的选择
134	发货很快，包装完好。中国红，很好看。首次使用很顺畅，客服小可爱也很给力，有问必答。作为日常偶尔在家加班的辅助，这本足够了，很轻便，带着出门也可。
135	电脑挺好用的，办公家用都可以，不卡，看电视追剧也很方便，推荐给大家
136	新升级的金属旗舰电脑没有让我失望，运行速度快且流畅，屏幕显示清晰，窄边框全面屏，没有大黑边，显示范围更广，追剧看电影，办公舒服多了。像我这种经常要用电脑处理文件和追剧的真的非常适合。外观线条就像女人的S曲线一样，颜值高，航空金属磨砂外壳，手感好，不沾指纹，机身很薄很轻，整体很满意，是我所期待的。集美们，买它，买它，买它。一如既往的给力！
137	电脑收到，包装不错还送了小东东！电脑超薄轻巧，镁铝合金属材质 很nice~其实金属壳比塑料壳散热效果会更好好，很不错
138	刚收到宝贝，外观很大方，最主要的是运行速度快，一点都不卡顿
139	电脑刚到货就迫不及待打开测试！很奈斯！客服小姐姐也很耐心的解答了很多我不懂的问题！
140	外观精致上档次，功能很多给孩子买来上网课的不卡性价比高比实体店便宜多了值得购买！
141	整体看着还不错，具体的还要操作一下试试，感觉还满意
142	性价比：对比了市场上十几款主流的笔记本 ，还是咱们家的戴睿性价比最高，键盘非常炫酷，仅需6秒开机左右，运行速度快，非常推荐大家购买
143	昨天买的，今天就收到了，棒棒哒(*?︶?*).?.：*?～(￣▽￣～)~(^_^) 非常喜欢，还送了鼠标和鼠标垫，蟹蟹thanko(≧v≦)o
144	这个价格还可以，一分钱一分货，对的起这个价格
145	1）物流很快，第二天就到货 2）确实是京东方的4K屏，没有看到像素点，很清晰 3）买给小孩学编程的。这个价位这个配置够用了，关键比较轻便。 4）初步使用上网，办公，小学编程，看电影绝对够用了。 其他方面使用一段时间再看看，关键是保修2年，服务到位。
146	购买的笔记本电脑，包装非常漂亮，颜色也是我非常喜欢的银色。开机运行快，屏幕够大，与同等价位而言是当之无愧的！非常满意。赞????????????????
147	收到货就迫不及待打开用了，卖家都免费帮忙升级好了系统，态度很好，有什么问题都耐心解决，看看视频日常办公这个价位非常可以了，也不卡，游戏的话现在还没玩，先用一段时间看看再追评
148	外观材质：银色很时尚，电脑性能可以，第一次购买笔记本电脑觉得很满意，商务办公使用的，推荐购买，性价比可以的
149	电脑挺好的，大小看起来非常舒适，清晰度也不错，速度也快！
150	电脑还不错，屏幕挺大的，日常办公加看视频应该足够了。
151	电脑来了，使用过后感觉不错，值得拥有。
152	质量太差了，ps软件用不了太卡了，和客服协商，可客服说什么不兼容，怎是在推脱责任。电量也不行，买的时候它那上说可以待机48小时，可实际只能3---4小时，充满电放在那第二天就没电了，太坑人了。
153	开机快，屏幕大，不卡顿性价比很高，一天半就送到，周六下单不影响我周一办公
154	电脑很不错，也很喜欢。反应也特别快。用了几天，感觉非常不错，  要入手的赶紧入手
155	此用户没有填写评论!
156	笔记本小巧精致，携带方便，运行速度快，不卡顿，键盘灵活，这个价格值了
157	反应速度还好，安静不吵不发热。键盘舒服。
158	使用流畅 物有所值 是心动的感觉
159	买了很多笔记本电脑，在这家店买了2台，这是第二台，总体来说，性价比还是可以的，服务也还可以。
160	收到货后用了一段时间，整体感觉还不错，音质，清晰度，物超所值了
161	此用户没有填写评论!
162	这价钱算得挺香的。不玩游戏，办公和看影视是真香。服务也挺好，有问必答。
163	正常办公用，流畅，内存也够用，7天无理由，买了可以试试，充电速度也可以，屏幕大，看电影也阔以
164	此用户没有填写评论!
165	电脑很好很流畅不卡对非常满意客服也能吃好都能帮助到大家喜欢的快快下单
166	物流发货快，包装完好，没有破损，电脑正常使用，轻薄便带真的很方便。
167	刚收到货，发货速度快，一天收到货。机器质量不错，值得购买
168	感觉看起来挺不错的，日常处理word办公还是可以的，具体的得看后面情况了，毕竟才刚到手。
169	其他特色：2千多块钱超值 外观材质：颜色好看很正 显卡效果：特别好 电脑性能：功能性好足够我用
170	本本收到了，物美价廉，挺好的用的。
171	外观材质：电脑收到了，包装完好，电脑很轻薄，马上打开电脑  颜色样式非常喜欢，运行很流畅，屏幕美观清晰，是最新的配置，我很喜欢
172	此用户没有填写评论!
173	电脑收到，颜色很正，之前一直买黑色，现在就想试试换个红色，用了一小段时间还挺好用的，总而言之这个价位还是不错的，值得购买。
174	电脑很精美，物流也很给力，价格也便宜，非常好用。强烈建议办公的大家可以购买。
175	此用户没有填写评论!
176	非常好的一个电脑，刚拿回来非常高兴，打开一看更喜欢了，开机后一直用了几个小时
177	机器性价比真高啊，打魔兽 很多游戏都可以，显示画面一流，值得购买！
178	电脑好用一点也不卡顿很适合学生党使用办公学习上网课程很流畅，客服态度特别好超级有耐心会一点点的教，店家送的鼠标鼠标垫都很好用这是一次很愉快的购物
179	低调轻奢 高颜值高品质 细磨砂手感更是棒极了 开机速度超快 画面清晰视野广 全尺寸键盘 真的是绝绝子啦 哈哈
	评论
0	外观材质：这个材质摸起来舒服，合起来很薄 电脑性能：稳稳的，办公学习好帮手
1	颜色漂亮，流畅不卡，办公使用、孩子上网课使用都可以。
2	人生中第一个笔记本，外观和画面都很好。因为是电脑小白，等朋友帮忙看了再追评。 物流速度很快，商家的服务态度也特别的好。
3	此用户没有填写评论!
4	画质很清晰，这个价钱能买到这么实惠的电脑很划算，系统也很好，不错的一次购物
5	物流很给力，前天拍的，昨天就收到货，本本外观漂亮，挺满意，启动速度也很快，玩魔兽不卡，有指纹识别，挺方便，服务态度也很好，晚上十二点还有回复，👍🏽
6	这款轻薄本总体来说体验感还是不错的！运行流畅&hellip;&hellip;。适合家庭使用和商务办公兼可！
7	挺不错的   开机很快  用这也很流畅
8	办公电脑.外观挺好看.运行流畅.服务态度非常好。
9	"电脑包装精美，开机速度特别快，在同等价位而言，首选当.之无愧，还有外观也很时尚，我买的这款,主要用于日常办公，个人觉得完全够用，运行速度特别快，好用！"
