类别ID,类别名称
CATE_90,脸盆
CATE_91,iPhone保护壳/套
CATE_92,组装机
CATE_93,进口调味品
CATE_94,羽绒服
CATE_95,扫把/簸箕
CATE_96,餐巾/餐垫/杯垫
CATE_97,电脑/数码清洁
CATE_98,少儿
CATE_99,打印机
CATE_100,百洁布/厨房清洁
CATE_101,牙膏
CATE_102,柜类
CATE_103,干电池
CATE_104,拔罐用品
CATE_105,冲锋裤
CATE_106,商用厨电
CATE_107,办公设备/耗材
CATE_108,运动polo衫
CATE_109,科技类图书
CATE_110,运动颈环/手环/指环
CATE_111,眼线
CATE_112,男士腰包
CATE_113,其他运动器材
CATE_114,服务
CATE_115,内衣/家居服
CATE_116,少儿/教育图书
CATE_117,黄金
CATE_118,其他外设产品
CATE_119,燕窝
CATE_120,手链/脚链
CATE_121,一次性餐具/餐桌用品
CATE_122,进口保健品
CATE_123,漱口水
CATE_124,驱蚊灭虫
CATE_125,扫描仪
CATE_126,摄像头
CATE_127,运动户外
CATE_128,风水/占卜
CATE_129,教学演示/展示用品
CATE_130,身体乳液/霜
CATE_131,女士斜挎包
CATE_132,考试
CATE_133,电子音乐/舞曲
CATE_134,眉部彩妆
CATE_135,电纸书/电子阅览器
CATE_136,生活电器配件
CATE_137,户外袜子
CATE_138,洗发水
CATE_139,iPad配件
CATE_140,化妆水/爽肤水
CATE_141,数码相框
CATE_142,电子/水电工
CATE_143,隔离打底
CATE_144,产后塑身
CATE_145,手机/数码
CATE_146,GPS/指南针/野外通讯
CATE_147,浴擦
CATE_148,中小型健身器材
CATE_149,猫主粮
CATE_150,剃须膏/啫喱
CATE_151,营养面条
CATE_152,弹力素
CATE_153,隐形眼镜
CATE_154,儿童套装
CATE_155,其它厨房清洁
CATE_156,马桶刷
CATE_157,绘画/DIY/手工
CATE_158,其他随身视听
CATE_159,游戏附件/周边
CATE_160,传真机
CATE_161,儿童乐器/音乐玩具
CATE_162,汽车香水/净化/降温剂
CATE_163,儿童
CATE_164,户外箱包
CATE_165,电子体温计
CATE_166,职业套装/制服/校服
CATE_167,数位板/手写板
CATE_168,家庭影院
CATE_169,卡通
CATE_170,盆栽
CATE_171,维修保养服务
CATE_172,农业/林业
CATE_173,滑雪鞋
CATE_174,抓绒裤
CATE_175,五金/工具
CATE_176,汽车清洗工具/清洗用品
CATE_177,基础建材
CATE_178,清洁/消毒
CATE_179,MP3/MP4配件
CATE_180,其他服饰配件
CATE_181,西服套装
CATE_182,发胶/啫喱
CATE_183,足部护理
CATE_184,牛仔裤
CATE_185,话剧/音乐会/戏曲/舞蹈/其他
CATE_186,保鲜袋/保鲜膜
CATE_187,电饭煲
CATE_188,女士双肩包
CATE_189,Hifi音响配件
CATE_190,录音笔
CATE_191,时尚/美妆
CATE_192,LED
CATE_193,蓬松喷雾
CATE_194,靴裤
CATE_195,其他婴儿用品
CATE_196,床品定制/其他
CATE_197,网球相关
CATE_198,枕头/枕套
CATE_199,施华洛世奇/其他水晶
CATE_200,花瓶/花器/花盆/花架
CATE_201,旅游/地图
CATE_202,婴儿配方奶粉
CATE_203,其他美发产品
CATE_204,激光笔
CATE_205,其它软件
CATE_206,主板
CATE_207,男士手拿包
CATE_208,美发配件工具
CATE_209,学生文具
CATE_210,足球鞋
CATE_211,吉他配件
CATE_212,其他儿童服装
CATE_213,游戏装备
CATE_214,电线
CATE_215,功能内衣裤
CATE_216,复读机
CATE_217,纱窗
CATE_218,手杖/助行
CATE_219,其它个性定制
CATE_220,儿童下装
CATE_221,凉拖
CATE_222,旅行包
CATE_223,其他办公/文化用品
CATE_224,耳套
CATE_225,服饰配件
CATE_226,粉底
CATE_227,雕刻
CATE_228,发光/电子玩具
CATE_229,其他手机配件
CATE_230,高光粉/阴影粉
CATE_231,麦克风/话筒
CATE_232,防盗/报警/监控器材及系统
CATE_233,刀具/多用工具
CATE_234,经管类图书
CATE_235,酒类
CATE_236,益生菌
CATE_237,长裤
CATE_238,打底裤/打底裙
CATE_239,吸汗巾/垫背巾
CATE_240,面部精华
CATE_241,塑身美体增高
CATE_242,其他厨房家电
CATE_243,方便/速食/真空即食
CATE_244,法律
CATE_245,家电罩
CATE_246,钱币
CATE_247,美甲
CATE_248,动漫/幽默
CATE_249,工艺饰品
CATE_250,胶卷/相纸
CATE_251,装饰烟灰缸
CATE_252,礼服婚纱配件
CATE_253,运动器材
CATE_254,电子词典/文曲星
CATE_255,手工/DIY
CATE_256,沐浴露
CATE_257,奶酪/乳品/乳饮料
CATE_258,家居服务
CATE_259,BB霜
CATE_260,其它大家电
CATE_261,咬咬袋
CATE_262,户外眼镜
CATE_263,装饰器皿
CATE_264,鲜花/绿植
CATE_265,水上用品
CATE_266,早教/益智
CATE_267,电视
CATE_268,其它影音设备
CATE_269,缝纫用品
CATE_270,运动卫衣
CATE_271,画片/相片/相片墙
CATE_272,其他专项收藏
CATE_273,电脑元件
CATE_274,束发带
CATE_275,社会科学
CATE_276,手镯
CATE_277,生活服务
CATE_278,门帘
CATE_279,网络会员卡/付费卡
CATE_280,桌布/桌旗
CATE_281,迷你植物
CATE_282,压缩袋/泵
CATE_283,婚庆用品
CATE_284,品牌保健品
CATE_285,乡村/民谣
CATE_286,卫生护垫
CATE_287,戏剧/综艺
CATE_288,高尔夫球相关
CATE_289,衣帽架/晒衣架
CATE_290,刀具/烹饪用具
CATE_291,抓绒衣
CATE_292,钙/锌/铁
CATE_293,电视剧
CATE_294,电脑整机
CATE_295,手柄/摇杆/方向盘
CATE_296,新生儿玩具
CATE_297,眼镜
CATE_298,玩具/娃娃/模型/动漫/桌游
CATE_299,连身裤
CATE_300,登山鞋
CATE_301,管理
CATE_302,帐篷
CATE_303,护臀爽身
CATE_304,手机配饰
CATE_305,游艺设施/户外休闲
CATE_306,彩妆盘
CATE_307,收纳整理
CATE_308,短外套
CATE_309,汽车维修/工具
CATE_310,程序/软件开发
CATE_311,鞋油/皮革护理
CATE_312,政治/军事
CATE_313,家用电器
CATE_314,低帮皮鞋
CATE_315,收纳
CATE_316,刷漆用具
CATE_317,游戏币
CATE_318,施工保护
CATE_319,粮油/蔬果/熟食/水产/干货
CATE_320,窗帘/布艺/地毯
CATE_321,暖贴/热水袋
CATE_322,进口巧克力
CATE_323,宠物服装
CATE_324,钻石
CATE_325,西洋管/笛/号/其它
CATE_326,瓷砖
CATE_327,须后水
CATE_328,景点门票
CATE_329,其他彩妆
CATE_330,欧美流行
CATE_331,书包
CATE_332,笔记本/平板配件
CATE_333,购物车/篮
CATE_334,孕期护肤/洗护
CATE_335,国画书法/文房四宝/篆刻
CATE_336,美妆工具
CATE_337,戒指/指环
CATE_338,冲锋衣
CATE_339,手机配件
CATE_340,Cosplay服饰/配件
CATE_341,加湿/除湿器
CATE_342,急救卫生
CATE_343,沐浴用品
CATE_344,MIDI乐器/电脑音乐
CATE_345,头巾/手帕
CATE_346,电动车
CATE_347,体育/运动
CATE_348,中餐/西餐/自助餐
CATE_349,睫毛膏
CATE_350,婴儿牛奶粉
CATE_351,行业软件
CATE_352,唇膏
CATE_353,单电/微单相机
CATE_354,男士防晒
CATE_355,帆布鞋
CATE_356,功能箱包
CATE_357,刺绣
CATE_358,扭扭车
CATE_359,挂钟/落地钟
CATE_360,编程开发软件
CATE_361,篮球相关
CATE_362,浴盐/沐浴用品
CATE_363,存储设备
CATE_364,园艺用品
CATE_365,宠物相关
CATE_366,保险柜/箱
CATE_367,足部按摩
CATE_368,鉴定/保养工具
CATE_369,溯溪鞋
CATE_370,成人纸尿裤
CATE_371,民族吹奏乐器
CATE_372,生活影视
CATE_373,CMMB移动电视
CATE_374,棉服
CATE_375,进口粮食/速食品
CATE_376,户外其他
CATE_377,儿童家具
CATE_378,刮痧用品
CATE_379,轮椅
CATE_380,家用游戏机
CATE_381,进口饮料
CATE_382,育儿/早教
CATE_383,羽毛球鞋
CATE_384,登山攀岩
CATE_385,耳饰
CATE_386,杯具/水壶
CATE_387,卡通/动漫
CATE_388,汽车培训/出租
CATE_389,CPU
CATE_390,糖果/果冻/布丁
CATE_391,儿童裙装
CATE_392,剃须刀
CATE_393,排球相关
CATE_394,钢琴
CATE_395,女士腰包
CATE_396,布料/面料
CATE_397,整体假发
CATE_398,十字绣
CATE_399,数据传输
CATE_400,果汁/饮品
CATE_401,益智玩具
CATE_402,雨衣/雨披
CATE_403,电玩专用配件
CATE_404,手机
CATE_405,成功/励志
CATE_406,暖宝
CATE_407,家具五金
CATE_408,T恤/打底衫
CATE_409,五分裤/中裤
CATE_410,摄影摄像
CATE_411,电压力锅
CATE_412,大家电配件
CATE_413,婴儿洗护
CATE_414,防撞/防护/门卡/提醒
CATE_415,女性护理
CATE_416,空气清新剂
CATE_417,急救包/急救箱
CATE_418,野餐炊具
CATE_419,节电器
CATE_420,风琴/手风琴/口风琴
CATE_421,电子计步器
CATE_422,模型玩偶
CATE_423,笔记本贴膜/贴纸
CATE_424,毛巾被/毯
CATE_425,唇彩/唇蜜
CATE_426,汽车用品/内饰
CATE_427,光驱/刻录机
CATE_428,灯具
CATE_429,台灯
CATE_430,面包/西点
CATE_431,卫浴安装服务
CATE_432,明星纪念品/主题系列收藏
CATE_433,手动工具
CATE_434,连衣裙
CATE_435,机箱
CATE_436,油/米/面粉/杂粮
CATE_437,童装配饰
CATE_438,教育影视
CATE_439,户外仪表
CATE_440,进口CD
CATE_441,饼干/磨牙棒
CATE_442,集线器
CATE_443,睡衣/睡袍/家居服
CATE_444,办公用纸
CATE_445,刻录碟片
CATE_446,旅游/度假服务
CATE_447,防尘袋
CATE_448,炭/净化
CATE_449,防尿垫巾/尿布/尿布带
CATE_450,软件/服务
CATE_451,显示器
CATE_452,数码影音
CATE_453,海鲜/水产品
CATE_454,手巾/口水巾/三角巾
CATE_455,创意礼品
CATE_456,大型游乐设施
CATE_457,男士乳液/面霜
CATE_458,经济
CATE_459,瑞士军刀
CATE_460,遮瑕
CATE_461,夹克
CATE_462,发膜/倒模
CATE_463,户外水具
CATE_464,西装
CATE_465,鞋盒
CATE_466,雪纺衫
CATE_467,显卡
CATE_468,厨房
CATE_469,项圈/手环
CATE_470,干货/土特产
CATE_471,蔬菜/水果/制品
CATE_472,服务器
CATE_473,绘图测量
CATE_474,其它产品
CATE_475,相机包
CATE_476,牛初乳
CATE_477,围裙/袖套
CATE_478,孕妇装/孕妇内衣
CATE_479,其它影音产品
CATE_480,茶叶
CATE_481,中小学教辅
CATE_482,功能音乐
CATE_483,散热设备
CATE_484,轮滑鞋/旱冰鞋
CATE_485,U盘
CATE_486,教材
CATE_487,其它用品
CATE_488,其它食品
CATE_489,雨鞋/靴
CATE_490,无线网络
CATE_491,卫生巾
CATE_492,投影机及配件
CATE_493,电热毯
CATE_494,装修/设计
CATE_495,闹钟
CATE_496,猫/狗日用品
CATE_497,墙钟
CATE_498,奶粉
CATE_499,网络设备
CATE_500,女鞋
CATE_501,托运箱
CATE_502,各类贴纸
CATE_503,红蓝宝石/贵重宝石
CATE_504,情侣情趣
CATE_505,哲学/宗教
CATE_506,生活电器
CATE_507,进口豆类/花生
CATE_508,家务手套
CATE_509,针织衫
CATE_510,门窗
CATE_511,防辐射
CATE_512,语音视频设备
CATE_513,青春文学
CATE_514,其他影像配件
CATE_515,Polo衫
CATE_516,内衣配件
CATE_517,洁面
CATE_518,瑜伽垫
CATE_519,布艺手工成品
CATE_520,男性器具
CATE_521,鱼类及其用品
CATE_522,咖啡器具
CATE_523,胶黏用品
CATE_524,毛绒玩具
CATE_525,电动牙刷
CATE_526,舞蹈/体操/健美操
CATE_527,眼部护理
CATE_528,彩妆
CATE_529,饰品盒
CATE_530,收录机/手提CD
CATE_531,电动车/电动车配件
CATE_532,功能眼镜
CATE_533,其他厨房用品
CATE_534,亲子装
CATE_535,文件夹/柜
CATE_536,挂钩/粘钩
CATE_537,其它球类运动
CATE_538,猫零食
CATE_539,进口饼干
CATE_540,烟具/戒烟
CATE_541,女士钱包
CATE_542,进口蜜饯/果干
CATE_543,计算机/网络
CATE_544,保健按摩器材
CATE_545,净水器
CATE_546,水路管线/管阀
CATE_547,装饰灯
CATE_548,户外鞋袜
CATE_549,秋衣/内衣裤/睡衣
CATE_550,乐器/乐器配件
CATE_551,毛巾/浴巾
CATE_552,电源/电池
CATE_553,外设产品
CATE_554,沙发类
CATE_555,复印/一体机
CATE_556,腰带
CATE_557,雨伞/阳伞/配件
CATE_558,邮票
CATE_559,情趣丝袜/配饰
CATE_560,面膜
CATE_561,运动棉衣/羽绒服
CATE_562,极限运动
CATE_563,教育考试软件
CATE_564,油漆/涂料/壁纸
CATE_565,亲子/家教
CATE_566,沙滩鞋
CATE_567,面部护理
CATE_568,卸妆
CATE_569,美容美发/美体瘦身卡
CATE_570,冰箱
CATE_571,酒具/酒杯/酒壶
CATE_572,衬衫
CATE_573,围巾
CATE_574,领带/领结
CATE_575,眼部保健
CATE_576,摩托车相关
CATE_577,跑步鞋
CATE_578,相册/相簿
CATE_579,足浴/洗浴/按摩券
CATE_580,电动打蛋器
CATE_581,民乐
CATE_582,足球相关
CATE_583,居家商品定制
CATE_584,餐椅摇椅/安全椅
CATE_585,LED设备
CATE_586,皂盒
CATE_587,民族拉弦乐器
CATE_588,音响
CATE_589,仿真花/仿真花材料
CATE_590,网球鞋
CATE_591,浴帘
CATE_592,自然科学
CATE_593,蓝牙耳机
CATE_594,其它图书
CATE_595,保鲜盒/微波用品
CATE_596,其他运动鞋
CATE_597,休闲鞋
CATE_598,室内休闲运动
CATE_599,台式机
CATE_600,腮红
CATE_601,辅助用品/其他
CATE_602,皮肤风衣
CATE_603,动漫周边/公仔
CATE_604,缝纫机
CATE_605,钟表/首饰/眼镜/礼品
CATE_606,钟表
CATE_607,防护器具
CATE_608,蜜粉/散粉
CATE_609,牌/章/卡/票
CATE_610,电纸书配件
CATE_611,民族服装
CATE_612,手机壳/套
CATE_613,运动拖鞋
CATE_614,电子词典/学习机/点读机配件
CATE_615,笔筒/座/插/架
CATE_616,被罩/被套
CATE_617,其它玩具
CATE_618,蜡烛/烛台
CATE_619,床垫/床褥
CATE_620,天然琥珀/珍珠/玉石
CATE_621,婴幼宝贝服饰
CATE_622,墨盒/硒鼓/墨粉/色带
CATE_623,其它电脑周边
CATE_624,男士护肤
CATE_625,西装裤
CATE_626,翡翠
CATE_627,优惠券/折扣券
CATE_628,调味/酱类/沙拉
CATE_629,鞋类用品
CATE_630,其他户外服装
CATE_631,工业技术
CATE_632,单鞋
CATE_633,防尘罩
CATE_634,手机贴膜
CATE_635,男士爽肤水
CATE_636,其他灯具
CATE_637,直发膏
CATE_638,测量用具
CATE_639,垃圾桶/架
CATE_640,虫草
CATE_641,鞋类箱包
CATE_642,文学艺术
CATE_643,家用理疗仪
CATE_644,变压器/稳压器
CATE_645,电吹风
CATE_646,运动户外配饰
CATE_647,湿巾/纸巾
CATE_648,加热器
CATE_649,汽车影音
CATE_650,其它保健器材
CATE_651,民间运动
CATE_652,汽车改装/零配件
CATE_653,泳衣
CATE_654,挂饰/壁饰
CATE_655,软件源代码
CATE_656,洗衣机
CATE_657,收纳陈列
CATE_658,冰箱贴
CATE_659,皮衣
CATE_660,发饰
CATE_661,枸杞及其制品
CATE_662,清洁剂/洁厕剂
CATE_663,背心
CATE_664,机票/充值/票务/虚拟
CATE_665,手机耳机
CATE_666,提琴
CATE_667,宠物/宠物食品/宠物用品
CATE_668,网络存储
CATE_669,护发素
CATE_670,打印机配件
CATE_671,户外衣裤套装
CATE_672,珠宝/钻石/翡翠/黄金
CATE_673,进口酒
CATE_674,蜜饯/枣类/梅/果脯
CATE_675,童车/床/儿童轮滑
CATE_676,染发膏
CATE_677,进口食品
CATE_678,家纺
CATE_679,音像
CATE_680,香水
CATE_681,男鞋
CATE_682,球迷用品/其它
CATE_683,绕线/收纳
CATE_684,3G无线上网缴费
CATE_685,润唇护唇
CATE_686,油烟机
CATE_687,猫/狗梳理美容
CATE_688,腾讯QQ专区
CATE_689,模型/机器人
CATE_690,被子
CATE_691,肉干/肉脯/豆干/肉类
CATE_692,休闲食品
CATE_693,纸巾盒
CATE_694,孕产/胎教
CATE_695,功放
CATE_696,磨脚器
CATE_697,棉衣
CATE_698,其他
CATE_699,美术用品
CATE_700,家具/家装/建材
CATE_701,尿裤湿巾
CATE_702,牙签/牙签筒
CATE_703,毛巾架
CATE_704,苹果内置配件
CATE_705,线衣/针织衫
CATE_706,办公通讯
CATE_707,提货券
CATE_708,运动裙装
CATE_709,男士斜挎包/胸包
CATE_710,童车自行车
CATE_711,餐具
CATE_712,排球鞋
CATE_713,胶卷相机
CATE_714,七分裤/九分裤
CATE_715,速干衣
CATE_716,传记
CATE_717,茶具
CATE_718,茶几/台案
CATE_719,其他个人护理
CATE_720,镜头
CATE_721,点穴棒
CATE_722,数码单反相机
CATE_723,卡套卡包
CATE_724,DIY饰品配件
CATE_725,维生素
CATE_726,滑板车/滑板/活力板
CATE_727,蚊帐/床幔
CATE_728,碎纸机
CATE_729,救生衣/泳圈/玩具
CATE_730,文学类
CATE_731,瑜伽包
CATE_732,牙刷
CATE_733,核桃/坚果/炒货
CATE_734,童鞋
CATE_735,电动工具
CATE_736,藕粉/麦片/冲饮
CATE_737,巧克力
CATE_738,户外羽绒服
CATE_739,奶粉存储盒
CATE_740,剃/脱毛器
CATE_741,户外家具
CATE_742,洗手液
CATE_743,电动/遥控玩具
CATE_744,其它户外鞋类
CATE_745,CD盒/架
CATE_746,装订用品
CATE_747,狗零食
CATE_748,古董/字画/收藏
CATE_749,榨汁机
CATE_750,男士手提包/公文包
CATE_751,布线箱
CATE_752,其他家庭清洁
CATE_753,防护装备
CATE_754,空气净化/氧吧
CATE_755,成套家具
CATE_756,个人护理电器
CATE_757,电子血糖仪
CATE_758,面包机/多士炉
CATE_759,影棚专用
CATE_760,音乐DVD/VCD
CATE_761,蓬蓬粉
CATE_762,磨砂/去角质
CATE_763,房产/租赁
CATE_764,工业设计
CATE_765,婴儿安全用品
CATE_766,其他面部护理
CATE_767,速干裤
CATE_768,桌类
CATE_769,垂钓用品
CATE_770,婴儿护肤
CATE_771,登机箱
CATE_772,早教/智能玩具
CATE_773,炒股软件
CATE_774,打火机/Zippo
CATE_775,菜粉/水果粉
CATE_776,舞台影音
CATE_777,手机通讯
CATE_778,项链/吊坠
CATE_779,平板电脑
CATE_780,硬盘
CATE_781,凉席
CATE_782,USB电脑周边
CATE_783,汽车防护用品/防爆膜/保险杠
CATE_784,洗脸机
CATE_785,家用五金
CATE_786,情趣内衣/睡衣
CATE_787,贺卡/明信片
CATE_788,棒球相关
CATE_789,户外服装
CATE_790,内存
CATE_791,高帮鞋
CATE_792,线材/线类
CATE_793,家装主材
CATE_794,烧烤用品
CATE_795,三轮车/健身车
CATE_796,滑雪用品
CATE_797,生活日用
CATE_798,其他家居饰品
CATE_799,香皂
CATE_800,酒水/饮料/茶叶/咖啡
CATE_801,游戏软件
CATE_802,进口糖果/布丁
CATE_803,瑜伽瘦身
CATE_804,生活类图书
CATE_805,体育用品
CATE_806,袖扣
CATE_807,货架/展柜
CATE_808,运动套装
CATE_809,食品/保健
CATE_810,指甲钳/指甲剪
CATE_811,洗衣液/柔软剂
CATE_812,清洁用品
CATE_813,有框画
CATE_814,男士内衣
CATE_815,机械五金
CATE_816,眼影
CATE_817,饮水机
CATE_818,篮球鞋
CATE_819,科普读物
CATE_820,速溶咖啡/咖啡豆/粉
CATE_821,跆拳道/武术/搏击
CATE_822,女装
CATE_823,药盒/医药箱
CATE_824,床类
CATE_825,交换机
CATE_826,暖奶/调奶器
CATE_827,项链/耳饰/发饰/戒指
CATE_828,摄影配件
CATE_829,太阳眼镜
CATE_830,水泥/沙/石
CATE_831,电工配件
CATE_832,民族/舞台服装
CATE_833,电动剃须刀
CATE_834,摇滚
CATE_835,滑雪服
CATE_836,求生装备
CATE_837,刃具
CATE_838,其他滋补/保健品
CATE_839,棋牌/桌面游戏
CATE_840,电视盒/电视卡
CATE_841,电子琴/数码钢琴/合成器
CATE_842,急救护理用品
CATE_843,板鞋
CATE_844,木方/木条
CATE_845,学步车/踏行车
CATE_846,热水器
CATE_847,图形图像软件
CATE_848,床上套件
CATE_849,吊扇
CATE_850,手表
CATE_851,T恤
CATE_852,微波炉
CATE_853,滤镜
CATE_854,足浴器
CATE_855,其它服务
CATE_856,越野跑鞋
CATE_857,血压计
CATE_858,文胸
CATE_859,家庭清洁
CATE_860,口琴
CATE_861,犬主粮
CATE_862,大衣
CATE_863,其它个人护理电器
CATE_864,梳子
CATE_865,家庭/家居
CATE_866,头巾/护耳
CATE_867,吸尘器
CATE_868,身体护理
CATE_869,人文社科类图书
CATE_870,文化
CATE_871,防晒
CATE_872,孕期营养品
CATE_873,裁剪用品
CATE_874,T区护理
CATE_875,不织布/DIY/辅件
CATE_876,泳镜/泳帽/其它泳具
CATE_877,面霜/乳液
CATE_878,西点用品
CATE_879,吉他/贝司
CATE_880,游戏账号
CATE_881,西洋鼓
CATE_882,衣架/三角衣架
CATE_883,鼠标
CATE_884,相框/画框
CATE_885,LOMO相机
CATE_886,工具书
CATE_887,数码贴膜
CATE_888,电水壶
CATE_889,吊带/背心
CATE_890,休闲/爱好
CATE_891,保温杯/保温壶
CATE_892,攀岩鞋
CATE_893,配送安装服务
CATE_894,摆件
CATE_895,影音电器
CATE_896,阿胶
CATE_897,围脖
CATE_898,洗洁精/油污清洁
CATE_899,建筑
CATE_900,电子凭证
CATE_901,洗衣粉
CATE_902,单反手柄
CATE_903,pos机
CATE_904,羽毛球相关
CATE_905,大型健身器械
CATE_906,粉饼
CATE_907,户外拖鞋
CATE_908,牙胶/固齿
CATE_909,拖把
CATE_910,眼镜配件/护理
CATE_911,平板电脑配件
CATE_912,男士双肩包
CATE_913,乒乓球相关
CATE_914,呢大衣
CATE_915,汽车外饰/装潢/车标/装饰灯
CATE_916,羊奶粉
CATE_917,身体按摩
CATE_918,电磁炉
CATE_919,水桶
CATE_920,睡袋
CATE_921,婴儿床/摇篮
CATE_922,击剑运动
CATE_923,气动工具
CATE_924,按摩椅
CATE_925,机电五金
CATE_926,电池/充电器/移动电源
CATE_927,转换器
CATE_928,童装/童鞋/亲子装
CATE_929,应用软件
CATE_930,燃气灶
CATE_931,地毯/地垫
CATE_932,DHA
CATE_933,军迷用品
CATE_934,数码摄像机
CATE_935,情趣家具
CATE_936,赛车相关
CATE_937,礼品
CATE_938,学爬/学步
CATE_939,马术运动
CATE_940,高山靴
CATE_941,电炖锅/文火炉
CATE_942,运动包
CATE_943,男士钱包/卡包
CATE_944,个性定制/设计服务/DIY
CATE_945,狗狗
CATE_946,喂养用品
CATE_947,运动裤装
CATE_948,影碟机/DVD
CATE_949,蜂蜜/蜂胶/蜂产品
CATE_950,瘦身纤体
CATE_951,太阳能电池
CATE_952,男装
CATE_953,男士单肩包
CATE_954,台球相关
CATE_955,三脚架/云台
CATE_956,宗教/庆典音乐
CATE_957,服饰服装
CATE_958,披肩
CATE_959,布尿裤
CATE_960,iPod配件
CATE_961,戏水/游泳
CATE_962,其他生活电器
CATE_963,笔记本/日记本/便签
CATE_964,垂钓服
CATE_965,鱿鱼/鱼干/海味
CATE_966,车灯/氙气灯
CATE_967,内增高鞋
CATE_968,洗衣刷/地板刷
CATE_969,其它生活日用品
CATE_970,移动硬盘
CATE_971,路由器/中继器
CATE_972,收音机
CATE_973,海外代购奶粉
CATE_974,电脑硬件
CATE_975,孕妇用品
CATE_976,锅刷/除油刷
CATE_977,机房布线
CATE_978,古典音乐
CATE_979,纸尿裤/拉拉裤/纸尿片
CATE_980,数码配件
CATE_981,宠物玩具
CATE_982,男包
CATE_983,模型零配件/工具
CATE_984,饮料/蔬果汁/茶饮
CATE_985,领带夹
CATE_986,拉杆箱/包
CATE_987,婴童/青少年家具
CATE_988,男士彩妆
CATE_989,男士面部护理
CATE_990,图书音像
CATE_991,厨房/餐具
CATE_992,一体机
CATE_993,塑身美体
CATE_994,装饰/搭配眼镜
CATE_995,营养品/保健品
CATE_996,汽车美容/养护
CATE_997,KTV/酒吧/俱乐部
CATE_998,游戏代练
CATE_999,专题片/专栏
CATE_1000,靴子
CATE_1001,美发护发
CATE_1002,吸奶器
CATE_1003,USB电器/其他
CATE_1004,成人用品/计生用品
CATE_1005,鼻贴/去黑头
CATE_1006,户外照明
CATE_1007,婴儿推车
CATE_1008,帽子
CATE_1009,其他饰品相关
CATE_1010,发蜡
CATE_1011,笔记本配件
CATE_1012,挂烫/干衣机
CATE_1013,空调
CATE_1014,笔
CATE_1015,华语流行
CATE_1016,电风扇
CATE_1017,声卡
CATE_1018,垃圾袋
CATE_1019,拆除用具
CATE_1020,历史
CATE_1021,唇笔/唇线笔
CATE_1022,帘类配件
CATE_1023,考勤机
CATE_1024,个人护理配件
CATE_1025,户外装备
CATE_1026,除尘掸
CATE_1027,居家拖鞋
CATE_1028,医学
CATE_1029,电话机
CATE_1030,消毒用具
CATE_1031,电火锅/电蒸锅
CATE_1032,其它运动服装
CATE_1033,龟虾蟹及其用品
CATE_1034,本地化生活服务
CATE_1035,调味瓶/罐
CATE_1036,滴眼液/护眼用品
CATE_1037,毛衣
CATE_1038,婚庆/派对
CATE_1039,插座
CATE_1040,影音电器配件
CATE_1041,罐头
CATE_1042,打底/保暖内衣
